embedding_index,row_index,sentence_index,game_id,game_name,genre_id,genre_name,sentence
0,0,0,072,21,07,Puzzle game,This is a Puzzle game.
1,0,1,072,21,07,Puzzle game,Another point is that the decision space is broad enough to make play feel flexible.
2,0,2,072,21,07,Puzzle game,"During play, goals, systems, and guidance work together to create a very strong sense of direction."
3,0,3,072,21,07,Puzzle game,"During play, the polished visual and sound design presentation strongly improves immersion and enjoyment."
4,0,4,072,21,07,Puzzle game,"At the same time, the game is highly immersive and can make players lose track of time."
5,0,5,072,21,07,Puzzle game,"From the player's perspective, the game provides very specific progress and reward feedback."
6,0,6,072,21,07,Puzzle game,"In addition, players are easily drawn in by new constraints, surprises, and changes."
7,0,7,072,21,07,Puzzle game,"From the player's perspective, the game makes player choices and actions feel meaningful."
8,0,8,072,21,07,Puzzle game,"Input feedback is accurate, making the game feel very comfortable to control."
9,0,9,072,21,07,Puzzle game,"In practice, the game is moderately challenging while remaining balanced."
10,0,10,072,21,07,Puzzle game,"During play, the game clearly lets players feel that they are becoming better over time."
11,1,0,072,21,07,Puzzle game,This is a Puzzle game.
12,1,1,072,21,07,Puzzle game,"From the player's perspective, it draws players deeply into the mechanics, atmosphere, and pacing."
13,1,2,072,21,07,Puzzle game,"From the player's perspective, the game is moderately hard to complete while remaining balanced."
14,1,3,072,21,07,Puzzle game,"In practice, the design supports effective learning and worthwhile skill development."
15,1,4,072,21,07,Puzzle game,"In addition, the polished visual and audio presentation strongly improves immersion and enjoyment."
16,1,5,072,21,07,Puzzle game,"At the same time, players are easily drawn in by new rules, surprises, and changes."
17,1,6,072,21,07,Puzzle game,"From the player's perspective, goals, rules, and guidance work together to create a very strong sense of direction."
18,1,7,072,21,07,Puzzle game,"More specifically, the controls are highly intuitive, smooth, and fluid."
19,1,8,072,21,07,Puzzle game,"From the player's perspective, the decision space is broad enough to make play feel flexible."
20,1,9,072,21,07,Puzzle game,"In addition, the goals and play structure create a strong sense of value."
21,1,10,072,21,07,Puzzle game,"In practice, the game provides very well-defined progress and reward feedback."
22,2,0,072,21,07,Puzzle game,"Overall, this Puzzle game offers a clear player experience."
23,2,1,072,21,07,Puzzle game,"During play, the goals are very clear, and the rules are explained in detail."
24,2,2,072,21,07,Puzzle game,"In practice, players can feel a clear connection between effort, progress, and emotional payoff."
25,2,3,072,21,07,Puzzle game,"More specifically, milestones, achievements, and result signals are detailed and satisfying."
26,2,4,072,21,07,Puzzle game,It is full of new situations and unknown outcomes that keep players interested.
27,2,5,072,21,07,Puzzle game,"The art, animation, and audio work together very well."
28,2,6,072,21,07,Puzzle game,"From the player's perspective, the game is highly immersive and can make players lose track of time."
29,2,7,072,21,07,Puzzle game,"More specifically, the game gives players many choices and a strong sense of agency."
30,2,8,072,21,07,Puzzle game,"During play, the challenge level is fair, with some resistance but not too much frustration."
31,2,9,072,21,07,Puzzle game,The game clearly lets players feel that they are becoming better over time.
32,2,10,072,21,07,Puzzle game,"Another point is that input feedback is precise, making the game feel very comfortable to control."
33,3,0,072,21,07,Puzzle game,This is a Puzzle game.
34,3,1,072,21,07,Puzzle game,Another point is that the design supports effective learning and valuable skill development.
35,3,2,072,21,07,Puzzle game,The game strongly encourages exploration and discovery.
36,3,3,072,21,07,Puzzle game,"During play, input feedback is specific, making the game feel very comfortable to control."
37,3,4,072,21,07,Puzzle game,"At the same time, the art, animation, and sound design work together very well."
38,3,5,072,21,07,Puzzle game,"More specifically, milestones, achievements, and result signals are detailed and satisfying."
39,3,6,072,21,07,Puzzle game,"In addition, goals, mechanics, and guidance work together to create a very strong sense of direction."
40,3,7,072,21,07,Puzzle game,"During play, players can feel strongly absorbed by the overall experience."
41,3,8,072,21,07,Puzzle game,"More specifically, some levels require thought, but they do not feel too difficult."
42,3,9,072,21,07,Puzzle game,"More specifically, players can feel a clear connection between effort, progress, and emotional payoff."
43,3,10,072,21,07,Puzzle game,"More specifically, the game gives players many choices and a strong sense of agency."
44,4,0,072,21,07,Puzzle game,"Overall, this Puzzle game offers a clear player experience."
45,4,1,072,21,07,Puzzle game,"In addition, the game has excellent audiovisual appeal."
46,4,2,072,21,07,Puzzle game,"From the player's perspective, the design supports effective learning and rewarding skill development."
47,4,3,072,21,07,Puzzle game,"From the player's perspective, players can feel a well-defined connection between effort, progress, and emotional payoff."
48,4,4,072,21,07,Puzzle game,"The challenge level is fair, with some resistance but not too much frustration."
49,4,5,072,21,07,Puzzle game,"At the same time, input feedback is clear, making the game feel very comfortable to control."
50,4,6,072,21,07,Puzzle game,"From the player's perspective, the game is highly immersive and can make players lose track of time."
51,4,7,072,21,07,Puzzle game,"From the player's perspective, the game provides very specific progress and reward feedback."
52,4,8,072,21,07,Puzzle game,"In practice, players are easily drawn in by new constraints, surprises, and changes."
53,4,9,072,21,07,Puzzle game,"More specifically, the goals are very clear, and the mechanics are explained in detail."
54,4,10,072,21,07,Puzzle game,Players can solve problems or pursue goals in different ways.
55,5,0,071,2048,07,Puzzle game,This Puzzle game has noticeable strengths and weaknesses across several play dimensions.
56,5,1,071,2048,07,Puzzle game,"In practice, players can understand their current goals and completion status."
57,5,2,071,2048,07,Puzzle game,Another point is that the game makes it fairly easy for players to become immersed.
58,5,3,071,2048,07,Puzzle game,"Another point is that as play continues, players gain a strong sense of control and competence."
59,5,4,071,2048,07,Puzzle game,The game has engaging art direction and sound.
60,5,5,071,2048,07,Puzzle game,"From the player's perspective, the game includes many tough levels."
61,5,6,071,2048,07,Puzzle game,"From the player's perspective, the rules and objectives are clear and reduce confusion."
62,5,7,071,2048,07,Puzzle game,"In addition, the decision space is broad enough to make play feel flexible."
63,5,8,071,2048,07,Puzzle game,"At the same time, some levels, constraints, or situations can interest the player."
64,5,9,071,2048,07,Puzzle game,Another point is that the game makes player choices and actions feel rewarding.
65,5,10,071,2048,07,Puzzle game,"The controls are highly intuitive, smooth, and fluid."
66,6,0,071,2048,07,Puzzle game,This Puzzle game has noticeable strengths and weaknesses across several play dimensions.
67,6,1,071,2048,07,Puzzle game,"In addition, input feedback is accurate, making the game feel very comfortable to control."
68,6,2,071,2048,07,Puzzle game,"In addition, players can quickly see what they should do and how to proceed."
69,6,3,071,2048,07,Puzzle game,"From the player's perspective, the game has attractive visuals and sound."
70,6,4,071,2048,07,Puzzle game,"At the same time, some levels, rules, or situations can interest the player."
71,6,5,071,2048,07,Puzzle game,"At the same time, the game makes it fairly easy for players to become immersed."
72,6,6,071,2048,07,Puzzle game,Players can understand their current goals and completion status.
73,6,7,071,2048,07,Puzzle game,"In practice, the decision space is broad enough to make play feel flexible."
74,6,8,071,2048,07,Puzzle game,"From the player's perspective, the game clearly lets players feel that they are becoming better over time."
75,6,9,071,2048,07,Puzzle game,"Players can feel a clear connection between effort, progress, and emotional payoff."
76,6,10,071,2048,07,Puzzle game,"From the player's perspective, players need focus and skill to get through the harder parts."
77,7,0,071,2048,07,Puzzle game,"As a Puzzle game, it leaves a fairly distinct impression."
78,7,1,071,2048,07,Puzzle game,"More specifically, players can understand their current goals and completion status."
79,7,2,071,2048,07,Puzzle game,"At the same time, the rules and objectives are well-defined and reduce confusion."
80,7,3,071,2048,07,Puzzle game,"In addition, players can solve problems or pursue goals in different ways."
81,7,4,071,2048,07,Puzzle game,"More specifically, players need focus and skill to get through the harder parts."
82,7,5,071,2048,07,Puzzle game,"More specifically, the game has attractive graphics and sound."
83,7,6,071,2048,07,Puzzle game,"In addition, the controls are highly intuitive, smooth, and responsive."
84,7,7,071,2048,07,Puzzle game,"More specifically, the game makes player choices and actions feel valuable."
85,7,8,071,2048,07,Puzzle game,"From the player's perspective, the game makes it fairly easy for players to become immersed."
86,7,9,071,2048,07,Puzzle game,"At the same time, the game maintains a basic level of curiosity."
87,7,10,071,2048,07,Puzzle game,"In practice, as play continues, players gain a strong sense of control and competence."
88,8,0,071,2048,07,Puzzle game,"Overall, this Puzzle game offers a clear player experience."
89,8,1,071,2048,07,Puzzle game,The game gives clear status feedback and makes advancement easy to recognize.
90,8,2,071,2048,07,Puzzle game,"In addition, input feedback is precise, making the game feel very comfortable to control."
91,8,3,071,2048,07,Puzzle game,"More specifically, the game makes player choices and actions feel meaningful."
92,8,4,071,2048,07,Puzzle game,"During play, the game has appealing visuals and sound."
